track_id,track_name,information_required,why_required,current_status,provided_value,source_url,verified_at,notes
MORNINGTON,Mornington,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
MOONEE_VALLEY,Moonee Valley,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
MOONEE_VALLEY,Moonee Valley,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
MOONEE_VALLEY,Moonee Valley,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
MOONEE_VALLEY,Moonee Valley,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
MOONEE_VALLEY,Moonee Valley,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
MOONEE_VALLEY,Moonee Valley,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
MOONEE_VALLEY,Moonee Valley,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
MOONEE_VALLEY,Moonee Valley,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
MOONEE_VALLEY,Moonee Valley,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
CRANBOURNE,Cranbourne,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
CRANBOURNE,Cranbourne,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
CRANBOURNE,Cranbourne,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
CRANBOURNE,Cranbourne,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
CRANBOURNE,Cranbourne,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
CRANBOURNE,Cranbourne,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
CRANBOURNE,Cranbourne,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
CRANBOURNE,Cranbourne,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
CRANBOURNE,Cranbourne,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
PAKENHAM,Pakenham,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
PAKENHAM,Pakenham,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
PAKENHAM,Pakenham,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
PAKENHAM,Pakenham,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
PAKENHAM,Pakenham,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
PAKENHAM,Pakenham,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
PAKENHAM,Pakenham,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
PAKENHAM,Pakenham,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
PAKENHAM,Pakenham,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
PAKENHAM_SYNTHETIC,Pakenham Synthetic,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
PAKENHAM_SYNTHETIC,Pakenham Synthetic,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
PAKENHAM_SYNTHETIC,Pakenham Synthetic,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
PAKENHAM_SYNTHETIC,Pakenham Synthetic,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
PAKENHAM_SYNTHETIC,Pakenham Synthetic,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
PAKENHAM_SYNTHETIC,Pakenham Synthetic,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
PAKENHAM_SYNTHETIC,Pakenham Synthetic,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
PAKENHAM_SYNTHETIC,Pakenham Synthetic,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
PAKENHAM_SYNTHETIC,Pakenham Synthetic,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
BALLARAT,Ballarat,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
BALLARAT,Ballarat,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
BALLARAT,Ballarat,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
BALLARAT,Ballarat,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
BALLARAT,Ballarat,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
BALLARAT,Ballarat,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
BALLARAT,Ballarat,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
BALLARAT,Ballarat,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
BALLARAT,Ballarat,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
BALLARAT_SYNTHETIC,Ballarat Synthetic,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
BALLARAT_SYNTHETIC,Ballarat Synthetic,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
BALLARAT_SYNTHETIC,Ballarat Synthetic,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
BALLARAT_SYNTHETIC,Ballarat Synthetic,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
BALLARAT_SYNTHETIC,Ballarat Synthetic,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
BALLARAT_SYNTHETIC,Ballarat Synthetic,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
BALLARAT_SYNTHETIC,Ballarat Synthetic,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
BALLARAT_SYNTHETIC,Ballarat Synthetic,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
BALLARAT_SYNTHETIC,Ballarat Synthetic,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
BENDIGO,Bendigo,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
BENDIGO,Bendigo,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
BENDIGO,Bendigo,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
BENDIGO,Bendigo,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
BENDIGO,Bendigo,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
BENDIGO,Bendigo,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
BENDIGO,Bendigo,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
BENDIGO,Bendigo,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
BENDIGO,Bendigo,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
BENALLA,Benalla,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
BENALLA,Benalla,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
BENALLA,Benalla,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
BENALLA,Benalla,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
BENALLA,Benalla,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
BENALLA,Benalla,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
BENALLA,Benalla,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
BENALLA,Benalla,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
BENALLA,Benalla,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
CAMPERDOWN,Camperdown,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
CAMPERDOWN,Camperdown,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
CAMPERDOWN,Camperdown,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
CAMPERDOWN,Camperdown,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
CAMPERDOWN,Camperdown,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
CAMPERDOWN,Camperdown,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
CAMPERDOWN,Camperdown,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
CAMPERDOWN,Camperdown,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
CAMPERDOWN,Camperdown,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
CASTERTON,Casterton,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
CASTERTON,Casterton,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
CASTERTON,Casterton,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
CASTERTON,Casterton,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
CASTERTON,Casterton,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
CASTERTON,Casterton,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
CASTERTON,Casterton,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
CASTERTON,Casterton,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
CASTERTON,Casterton,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
COLAC,Colac,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
COLAC,Colac,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
COLAC,Colac,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
COLAC,Colac,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
COLAC,Colac,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
COLAC,Colac,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
COLAC,Colac,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
COLAC,Colac,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
COLAC,Colac,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
DONALD,Donald,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
DONALD,Donald,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
DONALD,Donald,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
DONALD,Donald,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
DONALD,Donald,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
DONALD,Donald,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
DONALD,Donald,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
DONALD,Donald,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
DONALD,Donald,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
ECHUCA,Echuca,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
ECHUCA,Echuca,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
ECHUCA,Echuca,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
ECHUCA,Echuca,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
ECHUCA,Echuca,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
ECHUCA,Echuca,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
ECHUCA,Echuca,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
ECHUCA,Echuca,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
ECHUCA,Echuca,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
GEELONG,Geelong,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
GEELONG,Geelong,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
GEELONG,Geelong,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
GEELONG,Geelong,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
GEELONG,Geelong,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
GEELONG,Geelong,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
GEELONG,Geelong,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
GEELONG,Geelong,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
GEELONG,Geelong,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
HAMILTON,Hamilton,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
HAMILTON,Hamilton,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
HAMILTON,Hamilton,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
HAMILTON,Hamilton,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
HAMILTON,Hamilton,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
HAMILTON,Hamilton,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
HAMILTON,Hamilton,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
HAMILTON,Hamilton,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
HAMILTON,Hamilton,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
HORSHAM,Horsham,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
HORSHAM,Horsham,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
HORSHAM,Horsham,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
HORSHAM,Horsham,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
HORSHAM,Horsham,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
HORSHAM,Horsham,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
HORSHAM,Horsham,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
HORSHAM,Horsham,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
HORSHAM,Horsham,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
KILMORE,Kilmore,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
KILMORE,Kilmore,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
KILMORE,Kilmore,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
KILMORE,Kilmore,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
KILMORE,Kilmore,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
KILMORE,Kilmore,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
KILMORE,Kilmore,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
KILMORE,Kilmore,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
KILMORE,Kilmore,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
KYNETON,Kyneton,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
KYNETON,Kyneton,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
KYNETON,Kyneton,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
KYNETON,Kyneton,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
KYNETON,Kyneton,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
KYNETON,Kyneton,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
KYNETON,Kyneton,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
KYNETON,Kyneton,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
KYNETON,Kyneton,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
MANSFIELD,Mansfield,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
MANSFIELD,Mansfield,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
MANSFIELD,Mansfield,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
MANSFIELD,Mansfield,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
MANSFIELD,Mansfield,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
MANSFIELD,Mansfield,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
MANSFIELD,Mansfield,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
MANSFIELD,Mansfield,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
MANSFIELD,Mansfield,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
MOE,Moe,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
MOE,Moe,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
MOE,Moe,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
MOE,Moe,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
MOE,Moe,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
MOE,Moe,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
MOE,Moe,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
MOE,Moe,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
MOE,Moe,Fallback distance from racecourse,Required so EDGEiQ discloses how representative the fallback observation is.,REQUIRED,,,,
MURTOA,Murtoa,Exact racecourse latitude and longitude,Required to validate forecast location and calculate fallback-station distance.,REQUIRED,,,,
MURTOA,Murtoa,Official current-observation source,Confirms whether the track has its own live station or must use BOM observations.,REQUIRED,,,,
MURTOA,Murtoa,Primary observation URL or endpoint,Required for automated current conditions ingestion.,REQUIRED,,,,
MURTOA,Murtoa,Primary station name and station ID,Required for source lineage and operational monitoring.,REQUIRED,,,,
MURTOA,Murtoa,Observed fields available,"Required to know whether temperature, wind, gusts, rainfall and humidity are supplied.",REQUIRED,,,,
MURTOA,Murtoa,Observation update frequency,Required for freshness thresholds and stale-state handling.,REQUIRED,,,,
MURTOA,Murtoa,BOM forecast page or forecast location,Required for hourly and daily race-day forecasting.,REQUIRED,,,,
MURTOA,Murtoa,BOM fallback observation station,Required when the preferred live source is unavailable.,REQUIRED,,,,
