track_id,track_name,club,course_variant,canonical_location_name,latitude,longitude,preferred_observation_source,preferred_source_priority,primary_observation_endpoint,primary_observation_station_name,primary_observation_station_id,primary_observation_update_frequency,primary_observation_fields,forecast_source,forecast_location_name,forecast_endpoint,forecast_location_id,bom_fallback_station_name,bom_fallback_station_id,bom_fallback_observation_endpoint,bom_fallback_distance_km,fallback_permitted,source_status,last_verified_at,verification_method,notes
BALLARAT,Ballarat,Ballarat Turf Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
BALLARAT_SYNTHETIC,Ballarat Synthetic,Ballarat Turf Club,Synthetic,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
BENDIGO,Bendigo,Bendigo Jockey Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
BENALLA,Benalla,Benalla Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
CAMPERDOWN,Camperdown,Camperdown Turf Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
CASTERTON,Casterton,Casterton Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
COLAC,Colac,Colac Turf Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
DONALD,Donald,Donald & District Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
ECHUCA,Echuca,Echuca Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
GEELONG,Geelong,Geelong Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
HAMILTON,Hamilton,Hamilton Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
HORSHAM,Horsham,Horsham & District Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
KILMORE,Kilmore,Kilmore Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
KYNETON,Kyneton,Kyneton & Hanging Rock Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
MANSFIELD,Mansfield,Mansfield District Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
MOE,Moe,Moe Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
MURTOA,Murtoa,Murtoa Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
SALE,Sale,Sale Turf Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
SEYMOUR,Seymour,Seymour Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
ST_ARNAUD,St Arnaud,St Arnaud Turf Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
SWAN_HILL,Swan Hill,Swan Hill Jockey Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
TERANG,Terang,Terang & District Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
WANGARATTA,Wangaratta,Wangaratta Turf Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
WARRACKNABEAL,Warracknabeal,Warracknabeal Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
WARRNAMBOOL,Warrnambool,Warrnambool Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
WERRIBEE,Werribee,Werribee Racing Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
WODONGA,Wodonga,Wodonga & District Turf Club,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
YARRA_VALLEY,Yarra Valley,Yarra Valley Racing,Turf,,,,BOM_UNTIL_OFFICIAL_ON_TRACK_SOURCE_FOUND,2,,,,,,BOM,,,,,,,,YES,MAPPING_REQUIRED,,,Confirm whether an official club/on-track station exists before finalising BOM as primary.
