current_race_date,track,race_no,horse,trainer_name,jockey_name,trainer_canonical,jockey_canonical,combo_canonical,connection_evidence_status,trainer_track_read,trainer_distance_read,trainer_prep_read,trainer_market_read,jockey_track_read,jockey_distance_read,jockey_heavy_read,combo_read,connection_strength,connection_band,connection_score,connection_angle_1,connection_angle_2,connection_angle_3,connection_risk_1,connection_narrative,evidence_quality,join_quality
2026-06-25,BENDIGO,1,RESOLUTELY,"BEN, WILL & JD HAYES",JAKE NOONAN,BWJDHAYES,JNOONAN,BWJDHAYES|JNOONAN,STRONG_CONNECTION,"Trainer at BENDIGO: 64 starts, 21.9% win, 50.0% place, A/E 2.12, ROI +3.0%","Trainer over sprint trips: 1305 starts, 17.4% win, 44.3% place, A/E 1.44, ROI -47.2%","Trainer prep profile: 782 starts, NEUTRAL, ELITE SAMPLE, win lift -0.4pts, place lift +0.1pts","Trainer market profile: 4345 starts, 16.0% win, 41.2% place, A/E 1.01, ROI -31.7%","Jockey at BENDIGO: 333 starts, 9.3% win, 25.8% place, A/E 0.95, ROI +5.7%","Jockey over sprint trips: 1550 starts, 9.8% win, 31.0% place, A/E 0.87, ROI -39.5%",Not applicable today,"Trainer/jockey combination: 15 starts, 0.0% win, 20.0% place, A/E 0.00, ROI -100.0%",POSITIVE,POSITIVE,49,Trainer track profile: A/E 2.12 from 64 starts,Trainer distance profile: A/E 1.44 from 1305 starts,Trainer market profile: 41.2% place from 4345 starts,Trainer/jockey combination: below market expectation,RESOLUTELY has a positive connection read. Trainer track profile: A/E 2.12 from 64 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,1,MY BOY ARNIE,JAN WICKS,EMILY POZMAN,JRWICKS,EKPOZMAN,JRWICKS|EKPOZMAN,STRONG_CONNECTION,Limited sample,"Trainer over sprint trips: 67 starts, 10.4% win, 19.4% place, A/E 1.26, ROI -14.9%","Trainer prep profile: 36 starts, NEUTRAL, MODERATE, win lift -7.4pts, place lift -4.8pts","Trainer market profile: 99 starts, 10.1% win, 21.2% place, A/E 1.21, ROI -24.8%","Jockey at BENDIGO: 9 starts, 11.1% win, 11.1% place, A/E 1.08, ROI -72.2%","Jockey over sprint trips: 193 starts, 13.0% win, 35.2% place, A/E 0.95, ROI -30.3%",Not applicable today,"Trainer/jockey combination: 10 starts, 30.0% win, 60.0% place, A/E 2.33, ROI +34.0%",ELITE,ELITE,97,Trainer distance profile: A/E 1.26 from 67 starts,Trainer market profile: A/E 1.21 from 99 starts,Jockey track profile: A/E 1.08 from 9 starts,,MY BOY ARNIE has a elite connection read. Trainer distance profile: A/E 1.26 from 67 starts.,HIGH,BRIDGE_RESOLVED
2026-06-25,BENDIGO,1,MIRADOR,"BEN, WILL & JD HAYES",JAMIE MOTT,BWJDHAYES,JMOTT,BWJDHAYES|JMOTT,STRONG_CONNECTION,"Trainer at BENDIGO: 64 starts, 21.9% win, 50.0% place, A/E 2.12, ROI +3.0%","Trainer over sprint trips: 1305 starts, 17.4% win, 44.3% place, A/E 1.44, ROI -47.2%","Trainer prep profile: 782 starts, NEUTRAL, ELITE SAMPLE, win lift -0.4pts, place lift +0.1pts | Combo prep profile: 14 starts, NEUTRAL, DEVELOPING, win lift -7.5pts, place lift -5.7pts","Trainer market profile: 4345 starts, 16.0% win, 41.2% place, A/E 1.01, ROI -31.7%","Jockey at BENDIGO: 486 starts, 9.3% win, 33.7% place, A/E 0.68, ROI -38.0%","Jockey over sprint trips: 1683 starts, 15.0% win, 43.3% place, A/E 0.91, ROI -25.9%",Not applicable today,"Trainer/jockey combination: 73 starts, 11.0% win, 32.9% place, A/E 0.65, ROI -44.1%",POSITIVE,POSITIVE,48,Trainer track profile: A/E 2.12 from 64 starts,Trainer distance profile: A/E 1.44 from 1305 starts,Trainer market profile: 41.2% place from 4345 starts,Jockey track profile: below market expectation,MIRADOR has a positive connection read. Trainer track profile: A/E 2.12 from 64 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,1,SAINT WILLO,"BEN, WILL & JD HAYES",DANIEL STACKHOUSE,BWJDHAYES,DWSTACKHOUSE,BWJDHAYES|DWSTACKHOUSE,STRONG_CONNECTION,"Trainer at BENDIGO: 64 starts, 21.9% win, 50.0% place, A/E 2.12, ROI +3.0%","Trainer over sprint trips: 1305 starts, 17.4% win, 44.3% place, A/E 1.44, ROI -47.2%","Trainer prep profile: 782 starts, NEUTRAL, ELITE SAMPLE, win lift -0.4pts, place lift +0.1pts | Combo prep profile: 108 starts, NEUTRAL, ELITE SAMPLE, win lift -2.0pts, place lift -9.5pts","Trainer market profile: 4345 starts, 16.0% win, 41.2% place, A/E 1.01, ROI -31.7%","Jockey at BENDIGO: 287 starts, 6.6% win, 30.0% place, A/E 0.57, ROI -41.8%","Jockey over sprint trips: 1501 starts, 11.5% win, 35.2% place, A/E 0.85, ROI -37.0%",Not applicable today,"Trainer/jockey combination: 530 starts, 15.7% win, 44.7% place, A/E 0.86, ROI -41.5%",STRONG,STRONG,64,Trainer track profile: A/E 2.12 from 64 starts,Trainer distance profile: A/E 1.44 from 1305 starts,Trainer market profile: 41.2% place from 4345 starts,Jockey track profile: below market expectation,SAINT WILLO has a strong connection read. Trainer track profile: A/E 2.12 from 64 starts.,HIGH,BRIDGE_RESOLVED
2026-06-25,BENDIGO,1,SHARAZ,MITCHELL FREEDMAN,JOHN ALLEN,MFREEDMAN,JALLEN,MFREEDMAN|JALLEN,DEVELOPING_CONNECTION,"Trainer at BENDIGO: 115 starts, 13.0% win, 35.7% place, A/E 0.86, ROI -17.1%","Trainer over sprint trips: 459 starts, 9.8% win, 35.5% place, A/E 0.88, ROI -37.6%","Trainer prep profile: 662 starts, NEUTRAL, ELITE SAMPLE, win lift -2.2pts, place lift -2.8pts | Combo prep profile: 52 starts, NEUTRAL, STRONG, win lift -4.4pts, place lift -8.9pts","Trainer market profile: 2148 starts, 12.3% win, 36.4% place, A/E 0.88, ROI -22.0%","Jockey at BENDIGO: 268 starts, 15.3% win, 40.7% place, A/E 0.90, ROI -17.5%","Jockey over sprint trips: 1012 starts, 13.7% win, 42.3% place, A/E 0.92, ROI -31.7%",Not applicable today,"Trainer/jockey combination: 151 starts, 11.9% win, 41.1% place, A/E 0.69, ROI -36.6%",NEUTRAL,NEUTRAL,26,Jockey track profile: 40.7% place from 268 starts,Jockey distance profile: 42.3% place from 1012 starts,Trainer/jockey combination: 41.1% place from 151 starts,,SHARAZ has a neutral connection read. Jockey track profile: 40.7% place from 268 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,1,THE PALLET MAN,BRENT STANLEY,BEAU MERTENS,BSTANLEY,BMERTENS,BSTANLEY|BMERTENS,STRONG_CONNECTION,"Trainer at BENDIGO: 156 starts, 15.4% win, 31.4% place, A/E 1.35, ROI +30.8%","Trainer over sprint trips: 296 starts, 13.9% win, 36.5% place, A/E 0.90, ROI -12.8%","Trainer prep profile: 369 starts, NEUTRAL, ELITE SAMPLE, win lift +1.0pts, place lift -2.2pts","Trainer market profile: 1116 starts, 12.9% win, 32.5% place, A/E 0.96, ROI -8.7%","Jockey at BENDIGO: 141 starts, 7.1% win, 26.2% place, A/E 0.66, ROI +20.5%","Jockey over sprint trips: 1039 starts, 13.5% win, 34.5% place, A/E 1.08, ROI -1.1%",Not applicable today,Limited sample,ELITE,ELITE,77,Trainer track profile: A/E 1.35 from 156 starts,Jockey track profile: ROI +20.5% from 141 starts,Jockey distance profile: A/E 1.08 from 1039 starts,,THE PALLET MAN has a elite connection read. Trainer track profile: A/E 1.35 from 156 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,1,DARLING ROSE,JASON WARREN,ZAC SPAIN,JWARREN,ZSPAIN,JWARREN|ZSPAIN,STRONG_CONNECTION,"Trainer at BENDIGO: 8 starts, 37.5% win, 62.5% place, A/E 2.92, ROI +375.0%","Trainer over sprint trips: 248 starts, 13.3% win, 40.7% place, A/E 1.23, ROI -28.4%","Trainer prep profile: 236 starts, NEUTRAL, ELITE SAMPLE, win lift +1.0pts, place lift +1.7pts | Combo prep profile: 51 starts, NEUTRAL, STRONG, win lift +4.3pts, place lift +2.5pts","Trainer market profile: 839 starts, 11.1% win, 35.9% place, A/E 0.90, ROI -39.2%","Jockey at BENDIGO: 115 starts, 7.8% win, 21.7% place, A/E 0.77, ROI -49.8%","Jockey over sprint trips: 939 starts, 9.9% win, 34.0% place, A/E 0.85, ROI -21.9%",Not applicable today,"Trainer/jockey combination: 181 starts, 11.0% win, 41.4% place, A/E 1.00, ROI -21.2%",POSITIVE,POSITIVE,58,Trainer track profile: A/E 2.92 from 8 starts,Trainer distance profile: A/E 1.23 from 248 starts,Trainer/jockey combination: 41.4% place from 181 starts,Jockey track profile: below market expectation,DARLING ROSE has a positive connection read. Trainer track profile: A/E 2.92 from 8 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,1,EILISH,DANNY O'BRIEN,JORDAN CHILDS,DOBRIEN,JCHILDS,DOBRIEN|JCHILDS,DEVELOPING_CONNECTION,Limited sample,Limited sample,Limited sample,Limited sample,"Jockey at BENDIGO: 292 starts, 9.6% win, 30.5% place, A/E 0.74, ROI -54.5%","Jockey over sprint trips: 1074 starts, 12.9% win, 35.7% place, A/E 0.96, ROI -36.8%",Not applicable today,Limited sample,NEUTRAL,NEUTRAL,8,Jockey SP profile: ROI -100.0% from 38 starts,,,Jockey track profile: below market expectation,EILISH has a neutral connection read. Jockey SP profile: ROI -100.0% from 38 starts.,MEDIUM,CANONICAL_BRIDGE
2026-06-25,BENDIGO,2,CODENAME,BRENT STANLEY,MITCHELL AITKEN,BSTANLEY,MAITKEN,BSTANLEY|MAITKEN,STRONG_CONNECTION,"Trainer at BENDIGO: 156 starts, 15.4% win, 31.4% place, A/E 1.35, ROI +30.8%","Trainer over sprint trips: 296 starts, 13.9% win, 36.5% place, A/E 0.90, ROI -12.8%","Trainer prep profile: 369 starts, NEUTRAL, ELITE SAMPLE, win lift +1.0pts, place lift -2.2pts | Combo prep profile: 9 starts, NEUTRAL, DEVELOPING, win lift +4.0pts, place lift -9.6pts","Trainer market profile: 1116 starts, 12.9% win, 32.5% place, A/E 0.96, ROI -8.7%","Jockey at BENDIGO: 37 starts, 8.1% win, 18.9% place, A/E 1.24, ROI -20.8%","Jockey over sprint trips: 119 starts, 7.6% win, 26.1% place, A/E 0.74, ROI -39.2%",Not applicable today,"Trainer/jockey combination: 22 starts, 18.2% win, 31.8% place, A/E 1.20, ROI -20.2%",ELITE,ELITE,80,Trainer track profile: A/E 1.35 from 156 starts,Jockey track profile: A/E 1.24 from 37 starts,Trainer/jockey combination: A/E 1.20 from 22 starts,Jockey distance profile: below market expectation,CODENAME has a elite connection read. Trainer track profile: A/E 1.35 from 156 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,2,SPARKLING AWARD,"BEN, WILL & JD HAYES",JAKE NOONAN,BWJDHAYES,JNOONAN,BWJDHAYES|JNOONAN,STRONG_CONNECTION,"Trainer at BENDIGO: 64 starts, 21.9% win, 50.0% place, A/E 2.12, ROI +3.0%","Trainer over sprint trips: 1305 starts, 17.4% win, 44.3% place, A/E 1.44, ROI -47.2%","Trainer prep profile: 782 starts, NEUTRAL, ELITE SAMPLE, win lift -0.4pts, place lift +0.1pts","Trainer market profile: 4345 starts, 16.0% win, 41.2% place, A/E 1.01, ROI -31.7%","Jockey at BENDIGO: 333 starts, 9.3% win, 25.8% place, A/E 0.95, ROI +5.7%","Jockey over sprint trips: 1550 starts, 9.8% win, 31.0% place, A/E 0.87, ROI -39.5%",Not applicable today,"Trainer/jockey combination: 15 starts, 0.0% win, 20.0% place, A/E 0.00, ROI -100.0%",POSITIVE,POSITIVE,49,Trainer track profile: A/E 2.12 from 64 starts,Trainer distance profile: A/E 1.44 from 1305 starts,Trainer market profile: 41.2% place from 4345 starts,Trainer/jockey combination: below market expectation,SPARKLING AWARD has a positive connection read. Trainer track profile: A/E 2.12 from 64 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,2,TENNESSEE LIGHTS,ANDREW NOBLET,THOMAS STOCKDALE,ANOBLET,TSTOCKDALE,ANOBLET|TSTOCKDALE,DEVELOPING_CONNECTION,"Trainer at BENDIGO: 148 starts, 10.1% win, 31.8% place, A/E 0.69, ROI -32.8%","Trainer over sprint trips: 519 starts, 11.9% win, 34.1% place, A/E 0.81, ROI -24.5%","Trainer prep profile: 691 starts, NEUTRAL, ELITE SAMPLE, win lift -0.3pts, place lift -0.9pts","Trainer market profile: 1975 starts, 12.1% win, 33.2% place, A/E 0.87, ROI -23.2%","Jockey at BENDIGO: 83 starts, 8.4% win, 20.5% place, A/E 0.77, ROI -54.8%","Jockey over sprint trips: 618 starts, 10.5% win, 33.0% place, A/E 0.91, ROI -39.4%",Not applicable today,"Trainer/jockey combination: 8 starts, 12.5% win, 50.0% place, A/E 0.69, ROI -61.3%",NEUTRAL,NEUTRAL,0,Trainer/jockey combination: 50.0% place from 8 starts,"Trainer prep profile: 691 starts, NEUTRAL, ELITE SAMPLE, win lift -0.3pts, place lift -0.9pts",Trainer SP profile: ROI -100.0% from 10 starts,Trainer track profile: below market expectation,TENNESSEE LIGHTS has a neutral connection read. Trainer/jockey combination: 50.0% place from 8 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,2,ZOUZENNA,ALEKS KOMAROVS,CRAIG NEWITT,AKOMAROVS,CNEWITT,AKOMAROVS|CNEWITT,DEVELOPING_CONNECTION,Limited sample,Limited sample,Limited sample,"Trainer market profile: 19 starts, 5.3% win, 21.1% place, A/E 0.73, ROI -52.6%","Jockey at BENDIGO: 499 starts, 11.6% win, 33.1% place, A/E 0.88, ROI -15.1%","Jockey over sprint trips: 1987 starts, 12.3% win, 34.7% place, A/E 0.91, ROI -20.6%",Not applicable today,Limited sample,NEUTRAL,NEUTRAL,22,Jockey SP profile: ROI +57.1% from 56 starts,,,Trainer market profile: below market expectation,ZOUZENNA has a neutral connection read. Jockey SP profile: ROI +57.1% from 56 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,2,I'M MARCUS,KIM & GAYLE MAYBERRY,LIANA WOOD,KGMAYBERRY,LWOOD,KGMAYBERRY|LWOOD,STRONG_CONNECTION,Limited sample,"Trainer over sprint trips: 15 starts, 6.7% win, 26.7% place, A/E 3.01, ROI -100.0%","Trainer prep profile: 82 starts, NEUTRAL, STRONG, win lift -3.1pts, place lift -1.1pts","Trainer market profile: 255 starts, 7.1% win, 18.4% place, A/E 1.29, ROI -8.4%",Limited sample,"Jockey over sprint trips: 38 starts, 7.9% win, 31.6% place, A/E 1.35, ROI -46.8%",Not applicable today,"Trainer/jockey combination: 19 starts, 10.5% win, 15.8% place, A/E 5.30, ROI +326.3%",ELITE,ELITE,100,Trainer distance profile: A/E 3.01 from 15 starts,Trainer market profile: A/E 1.29 from 255 starts,Jockey distance profile: A/E 1.35 from 38 starts,,I'M MARCUS has a elite connection read. Trainer distance profile: A/E 3.01 from 15 starts.,HIGH,CANONICAL_BRIDGE
2026-06-25,BENDIGO,2,MY BOY RICKY,JAN WICKS,EMILY POZMAN,JRWICKS,EKPOZMAN,JRWICKS|EKPOZMAN,STRONG_CONNECTION,Limited sample,"Trainer over sprint trips: 67 starts, 10.4% win, 19.4% place, A/E 1.26, ROI -14.9%","Trainer prep profile: 36 starts, NEUTRAL, MODERATE, win lift -7.4pts, place lift -4.8pts","Trainer market profile: 99 starts, 10.1% win, 21.2% place, A/E 1.21, ROI -24.8%","Jockey at BENDIGO: 9 starts, 11.1% win, 11.1% place, A/E 1.08, ROI -72.2%","Jockey over sprint trips: 193 starts, 13.0% win, 35.2% place, A/E 0.95, ROI -30.3%",Not applicable today,"Trainer/jockey combination: 10 starts, 30.0% win, 60.0% place, A/E 2.33, ROI +34.0%",ELITE,ELITE,97,Trainer distance profile: A/E 1.26 from 67 starts,Trainer market profile: A/E 1.21 from 99 starts,Jockey track profile: A/E 1.08 from 9 starts,,MY BOY RICKY has a elite connection read. Trainer distance profile: A/E 1.26 from 67 starts.,HIGH,BRIDGE_RESOLVED
